Designator,Comment,Footprint,JLCpart#,,,
"C1, C2, C5, C8, C11, C12, C23, C24, C25, C28, C33, C34, C35, C36, C37, C38, C39, C40, C41, C43, C45",100n,603,C14663,,,
"C3, C4",6p,603,C282508,,,
C6,470p,603,C1620,,,
"C7, C44",1u,603,C15849,,,
"C9, C10",22p,603,C1653,,,
C26,10u,603,C96446,,,
"C27, C31",9p,603,C282076,,,
"C29, C30",2.2u,603,C23630,,,
C32,22u,603,C59461,,,
C42,4.7u,603,C19666,,,
"D1, D2",LED,603,C72038,,,
H1-H4,MountingHole_Pad,,,,,
"J1, J3",Termination ,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,
J2,CAN2,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",,,,
J4,CAN1,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MPT-0,5-2-2.54_1x02_P2.54mm_Horizontal",,,,
J5,SWD,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,,
J6,USB_OTG,Connector_USB:USB_Mini-B_Wuerth_65100516121_Horizontal,,,,
J7,GPIO1,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",,,,
J8,LIN Pots,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",,,,
J9,AIN,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",,,,
J10,Conn_01x08_Pin,Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical,,,,
J11,3.3V power breakout,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,
J12,5V power breakout,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,,,,
J13,8P8C_LED,Connector_RJ:RJ45_Amphenol_RJHSE538X,,,,
J14,GPIO2,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-4_1x04_P5.00mm_Horizontal",,,,
P2,USB_C_Plug_USB2.0,Connector_USB:USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,,,,
"R1, R2",120,603,C22787,,,
"R3, R9, R10, R11, R12, R13, R14, R15, R16, R36, R37, R39, R40, R41, R42",10k,603,C25804,,,
R4,0,603,,,,
R5,4k7,603,C509091,,,
"R6, R7, R45, R46",2k2,603,C4190,,,
R8,5k1,603,C23186,,,
"R17,R18, R19, R20,R21, R22, R23, R24",5k6,603,C23189,,,
"R25, R26, R27, R28",75,603,C4275,,,
"R29, R30",270,603,C22966,,,
"R31, R32, R33, R34",50,603,C849792,,,
R35,12k1,603,C305156,,,
"R38, R43, R44",33,603,C23140,,,
SW3,SW_SPDT,Button_Switch_SMD:SW_SPDT_PCM12,C221841,,,
SW5,SW_Push,Button_Switch_SMD:SW_SPST_PTS645,,,,
T1,H1102NLT,H1102NLT:XFMR_H1102NLT,C18584,,,
U1,STM32F429ZITx,LQFP-144,C84808,,,
"U2, U4",TJA1051T,SO:SOIC-8 3.9x4.9mm_P1.27mm,C7432801,,,
U3,AMS1117-3.3,SMD SOT-223-3,C2891839,,,
U5,~,LGA-14_3x2.5mm_P0.5mm,C481766,,,
"U6, U10",USBLC6-2P6(ESD protection),SMD SOT-666,C2827693,,,
U7,MCP2200T-I-SO,SOIC-20W_7.5x12.8mm_P1.27mm,C629432,,,
U8,LAN8742A,VQFN-24-1EP_4x4mm_P0.5mm_EP2.5x2.5mm_ThermalVias,C220794,,,
U9,STMPS2151STR(Current protection),SOT-23-5_HandSoldering,C135998,,,
U12,USBLC6-4SC6,SOT-23-6,C252436,,,
Y1,12MHz,SMD_3225,,,,
Y2,16MHz,SMD_3226,,,,
Y3,25Mhz,SMD_3227,,,,
