designator,Mid X,Mid Y,layer,Rotation
C1,130.35,-76.85,top,90
C2,155.3464,-96.2152,top,90
C3,157.226,-92.8624,top,90
C4,164.6936,-93.0656,top,-90
C5,166.3,-126.825,top,-90
C6,168.7375,-110.725,top,180
C7,168.7375,-112.55,top,180
C8,160.1,-110.85,top,0
C9,164.795,-111.72,top,0
C10,165.8,-117.6,top,0
C11,149.075,-121.86,top,180
C12,149.075,-120.285,top,180
C23,152.2,-96.25,top,-90
C24,152.225,-102.025,top,-90
C25,124.6,-97.525,top,90
C26,171,-65.5,top,180
C27,116.75,-97.5,top,-90
C28,121.4,-105.075,top,-90
C29,145.875,-112.625,top,-90
C30,152.375,-88,top,90
C31,121.775,-99.6,top,90
C32,171,-74.5,top,0
C33,129.5,-112.75,top,-90
C34,137.75,-111.775,top,180
C35,141.7,-111.775,top,180
C36,147.4,-112.625,top,-90
C37,150.825,-88,top,-90
C38,141.275,-85,top,0
C39,136.425,-85,top,0
C40,128.775,-84.75,top,90
C41,124.5,-93,top,180
C42,137.75,-113.275,top,180
C43,124.45,-105.075,top,90
C44,122.9,-105.075,top,90
C45,116.6,-69.2,top,180
D1,182.875,-110.95,top,180
D2,182.875,-108.36,top,180
J1,125.7,-68.15,top,0
J2,137.05,-64.225,top,180
J3,156.125,-68.25,top,0
J4,148.97,-64.225,top,180
J5,160.075,-73.325,top,180
J6,187.375,-83.3,top,90
J7,108.75,-72.85,top,-90
J8,108.55,-121.55,top,-90
J9,129.8,-145.28,top,0
J10,178.4,-127.135,top,180
J11,179.2,-68.95,top,0
J12,176.025,-61.7,top,90
J13,183.8,-136.5,top,-90
J14,108.78,-93.95,top,-90
P2,189,-99.4,top,90
R1,128.975,-69.425,top,-90
R2,152.975,-69.525,top,-90
R3,122.8,-67.4,top,90
R4,119.25,-100.5,top,180
R5,153.825,-96.225,top,90
R6,186.3875,-110.935,top,180
R7,186.3875,-108.425,top,180
R8,173,-102.125,top,180
R9,118.5925,-124.055,top,0
R10,118.58,-127.4,top,0
R11,118.605,-130.75,top,0
R12,118.605,-134.05,top,0
R13,133.525,-135.805,top,90
R14,136.975,-135.755,top,90
R15,140.3,-135.805,top,90
R16,144.275,-135.78,top,90
R17,121.905,-124.9625,top,-90
R18,121.905,-128.3,top,-90
R19,121.93,-134.975,top,-90
R20,132.625,-132.3175,top,180
R21,136.05,-132.305,top,180
R22,139.4,-132.305,top,180
R23,121.93,-131.65,top,-90
R24,143.3875,-132.25,top,180
R25,151.425,-142.21,top,180
R26,149.25,-126,top,180
R27,149.25,-127.75,top,180
R28,164.4,-140.3,top,180
R29,172.9,-132.6,top,180
R30,169.8,-144.6,top,180
R31,168.725,-120.35,top,180
R32,168.775,-121.875,top,180
R33,168.9,-129,top,180
R34,168.925,-130.675,top,180
R35,165.35,-121.2,top,-90
R36,169.2,-147,top,180
R37,123.025,-109.675,top,0
R38,153.25,-106.5,top,0
R39,150.75,-105.75,top,-90
R40,154.75,-102.5,top,-90
R41,153.25,-105,top,0
R42,151.5,-111,top,0
R43,153.25,-109.5,top,180
R44,153.25,-108,top,0
R45,122.475,-79.5,top,0
R46,126.2,-82.975,top,90
SW3,124.8,-60.275,top,180
SW5,116.6,-63.4,top,90
T1,157.75,-125.143,top,-90
U1,138.025,-98.475,top,0
U2,134.025,-76.4,top,90
U3,170.575,-70.025,top,180
U4,147.7,-76.325,top,90
U5,126.9,-76.82,top,90
U6,172.41,-99.5,top,180
U7,162.335,-103.275,top,0
U8,156.75,-114.425,top,180
U9,169.085,-87.2,top,180
U10,169.86,-81.675,top,180
U12,169.5,-125.325,top,180
Y1,161.025,-93.025,top,180
Y2,119.25,-97.65,top,-90
Y3,164.85,-114.675,top,-90
