Designator,Val,Mid X,Mid Y,Layer,Rotation
C1,100n,59.6,-46.2,top,180
C2,14p,67.7,-41.55,top,0
C3,14p,67.8,-50.35,top,180
C4,10u,86.7,-47.7,top,-90
C5,22u,86.45,-51.25,top,90
C6,100n,72.45,-42.1,top,180
C7,100n,81.325,-51.05,top,180
C8,100n,77.25,-37.1,top,90
C9,100n,86.6,-41.85,top,-90
C10,4.7u,81.3375,-52.6,top,180
C11,100n,73.35,-49.25,top,90
C12,1u,71.8,-49.25,top,90
C13,100n,84.25,-32.3,top,0
C14,100n,87.55,-32.3,top,180
D1,LED,96,-53.75,top,90
J1,Termination Resistor ,98.2,-34.925,top,180
J2,GPIO,69,-61.6,top,0
J3,Power,84.7,-61.6,top,0
J4,SWD,97.21,-38.73,top,0
J5,CANH and CANL input n output,85.6,-25.045,top,180
R1,2k2,80.4,-37.15,top,-90
R2,2k2,78.85,-37.15,top,-90
R3,0,67.75,-48.85,top,180
R4,120,102.05,-33.65,top,90
R5,2k2,97.65,-53.75,top,90
SW1,Nrst,59.3,-52.05,top,90
SW2,BOOT0 ,56.6,-34.85,top,-90
U1,~,86.45,-34.95,top,180
U2,TJA1051T,92,-35.2,top,90
U3,STM32F103C8Tx,79.6375,-44.55,top,0
U5,AMS1117-3.3,91.1,-50.75,top,-90
Y1,16mhz,67.55,-45.25,top,-90
